timestamp,[NET:eth0]RxMlt,anomaly_score
2019-02-20 00:00:00,42.0,1.0
2019-02-20 00:00:10,55.0,1.0
2019-02-20 00:00:20,48.0,1.0
2019-02-20 00:00:30,50.0,0.2
2019-02-20 00:00:40,47.0,0.0
2019-02-20 00:00:50,42.0,0.2
2019-02-20 00:01:00,46.0,0.15
2019-02-20 00:01:10,47.0,0.0
2019-02-20 00:01:20,47.0,0.0
2019-02-20 00:01:30,45.0,0.0
2019-02-20 00:01:40,54.0,0.0
2019-02-20 00:01:50,50.0,0.0
2019-02-20 00:02:00,60.0,0.05
2019-02-20 00:02:10,48.0,0.0
2019-02-20 00:02:20,41.0,0.0
2019-02-20 00:02:30,48.0,0.0
2019-02-20 00:02:40,52.0,0.0
2019-02-20 00:02:50,52.0,0.0
2019-02-20 00:03:00,47.0,0.0
2019-02-20 00:03:10,54.0,0.1
2019-02-20 00:03:20,55.0,0.15
2019-02-20 00:03:30,61.0,0.225
2019-02-20 00:03:40,51.0,0.025
2019-02-20 00:03:50,50.0,0.0
2019-02-20 00:04:00,43.0,0.0
2019-02-20 00:04:10,48.0,0.0
2019-02-20 00:04:20,68.0,0.325
2019-02-20 00:04:30,49.0,0.025
2019-02-20 00:04:40,43.0,0.0
2019-02-20 00:04:50,60.0,0.075
2019-02-20 00:05:00,58.0,0.125
2019-02-20 00:05:10,44.0,0.025
2019-02-20 00:05:20,48.0,0.0
2019-02-20 00:05:30,84.0,0.425
2019-02-20 00:05:40,70.0,0.825
2019-02-20 00:05:50,60.0,0.0
2019-02-20 00:06:00,98.0,0.675
2019-02-20 00:06:10,64.0,1.0
2019-02-20 00:06:20,59.0,0.0
2019-02-20 00:06:30,68.0,0.0
2019-02-20 00:06:40,61.0,0.225
2019-02-20 00:06:50,44.0,0.025
2019-02-20 00:07:00,59.0,0.05
2019-02-20 00:07:10,62.0,0.1
2019-02-20 00:07:20,57.0,0.075
2019-02-20 00:07:30,84.0,0.15
2019-02-20 00:07:40,67.0,0.175
2019-02-20 00:07:50,48.0,0.025
2019-02-20 00:08:00,85.0,0.175
2019-02-20 00:08:10,67.0,0.15
2019-02-20 00:08:20,50.0,0.025
2019-02-20 00:08:30,58.0,0.05
2019-02-20 00:08:40,43.0,0.025
2019-02-20 00:08:50,50.0,0.0
2019-02-20 00:09:00,69.0,0.0
2019-02-20 00:09:10,77.0,0.375
2019-02-20 00:09:20,84.0,0.5
2019-02-20 00:09:30,96.0,0.45
2019-02-20 00:09:40,82.0,0.375
2019-02-20 00:09:50,61.0,0.025
2019-02-20 00:10:00,79.0,0.35
2019-02-20 00:10:10,115.0,0.625
2019-02-20 00:10:20,94.0,0.35
2019-02-20 00:10:30,69.0,0.0
2019-02-20 00:10:40,75.0,0.375
2019-02-20 00:10:50,45.0,0.325
2019-02-20 00:11:00,65.0,0.025
2019-02-20 00:11:10,60.0,0.0
2019-02-20 00:11:20,73.0,0.175
2019-02-20 00:11:30,47.0,0.0
2019-02-20 00:11:40,66.0,0.05
2019-02-20 00:11:50,49.0,0.0
2019-02-20 00:12:00,54.0,0.0
2019-02-20 00:12:10,50.0,0.0
2019-02-20 00:12:20,60.0,0.0
2019-02-20 00:12:30,53.0,0.0
2019-02-20 00:12:40,56.0,0.025
2019-02-20 00:12:50,58.0,0.0
2019-02-20 00:13:00,54.0,0.05
2019-02-20 00:13:10,64.0,0.025
2019-02-20 00:13:20,56.0,0.025
2019-02-20 00:13:30,57.0,0.0
2019-02-20 00:13:40,43.0,0.05
2019-02-20 00:13:50,69.0,0.15
2019-02-20 00:14:00,54.0,0.025
2019-02-20 00:14:10,50.0,0.0
2019-02-20 00:14:20,48.0,0.0
2019-02-20 00:14:30,56.0,0.025
2019-02-20 00:14:40,47.0,0.0
2019-02-20 00:14:50,46.0,0.025
2019-02-20 00:15:00,52.0,0.0
2019-02-20 00:15:10,51.0,0.0
2019-02-20 00:15:20,47.0,0.0
2019-02-20 00:15:30,50.0,0.0
2019-02-20 00:15:40,47.0,0.0
2019-02-20 00:15:50,61.0,0.125
2019-02-20 00:16:00,48.0,0.0
2019-02-20 00:16:10,54.0,0.0
2019-02-20 00:16:20,55.0,0.025
2019-02-20 00:16:30,46.0,0.025
2019-02-20 00:16:40,49.0,0.0
2019-02-20 00:16:50,46.0,0.025
2019-02-20 00:17:00,51.0,0.025
2019-02-20 00:17:10,52.0,0.0
2019-02-20 00:17:20,58.0,0.0
2019-02-20 00:17:30,45.0,0.025
2019-02-20 00:17:40,44.0,0.075
2019-02-20 00:17:50,46.0,0.0
2019-02-20 00:18:00,49.0,0.0
2019-02-20 00:18:10,47.0,0.05
2019-02-20 00:18:20,46.0,0.0
2019-02-20 00:18:30,52.0,0.025
2019-02-20 00:18:40,46.0,0.0
2019-02-20 00:18:50,46.0,0.0
2019-02-20 00:19:00,49.0,0.025
2019-02-20 00:19:10,44.0,0.0
2019-02-20 00:19:20,57.0,0.0
2019-02-20 00:19:30,50.0,0.0
2019-02-20 00:19:40,55.0,0.0
2019-02-20 00:19:50,54.0,0.0
2019-02-20 00:20:00,71.0,0.075
2019-02-20 00:20:10,49.0,0.0
2019-02-20 00:20:20,49.0,0.0
2019-02-20 00:20:30,56.0,0.125
2019-02-20 00:20:40,52.0,0.025
2019-02-20 00:20:50,45.0,0.0
2019-02-20 00:21:00,63.0,0.05
2019-02-20 00:21:10,79.0,0.325
2019-02-20 00:21:20,44.0,0.0
2019-02-20 00:21:30,50.0,0.0
2019-02-20 00:21:40,50.0,0.0
2019-02-20 00:21:50,48.0,0.05
2019-02-20 00:22:00,43.0,0.0
2019-02-20 00:22:10,47.0,0.0
2019-02-20 00:22:20,48.0,0.0
2019-02-20 00:22:30,76.0,0.3
2019-02-20 00:22:40,57.0,0.05
2019-02-20 00:22:50,46.0,0.0
2019-02-20 00:23:00,48.0,0.0
2019-02-20 00:23:10,46.0,0.0
2019-02-20 00:23:20,46.0,0.05
2019-02-20 00:23:30,46.0,0.025
2019-02-20 00:23:40,58.0,0.0
2019-02-20 00:23:50,59.0,0.1
2019-02-20 00:24:00,56.0,0.025
2019-02-20 00:24:10,56.0,0.0
2019-02-20 00:24:20,49.0,0.05
2019-02-20 00:24:30,57.0,0.025
2019-02-20 00:24:40,52.0,0.0
2019-02-20 00:24:50,49.0,0.0
2019-02-20 00:25:00,43.0,0.0
2019-02-20 00:25:10,48.0,0.0
2019-02-20 00:25:20,46.0,0.0
2019-02-20 00:25:30,51.0,0.025
2019-02-20 00:25:40,51.0,0.0
2019-02-20 00:25:50,52.0,0.0
2019-02-20 00:26:00,48.0,0.0
2019-02-20 00:26:10,47.0,0.1
2019-02-20 00:26:20,45.0,0.0
2019-02-20 00:26:30,47.0,0.0
2019-02-20 00:26:40,52.0,0.025
2019-02-20 00:26:50,53.0,0.0
2019-02-20 00:27:00,52.0,0.05
2019-02-20 00:27:10,45.0,0.05
2019-02-20 00:27:20,48.0,0.05
2019-02-20 00:27:30,48.0,0.075
2019-02-20 00:27:40,46.0,0.075
2019-02-20 00:27:50,75.0,0.15
2019-02-20 00:28:00,64.0,0.25
2019-02-20 00:28:10,69.0,0.2
2019-02-20 00:28:20,42.0,0.1
2019-02-20 00:28:30,47.0,0.125
2019-02-20 00:28:40,55.0,0.15
2019-02-20 00:28:50,42.0,0.05
2019-02-20 00:29:00,46.0,0.075
2019-02-20 00:29:10,49.0,0.075
2019-02-20 00:29:20,45.0,0.075
2019-02-20 00:29:30,49.0,0.1
2019-02-20 00:29:40,67.0,0.125
2019-02-20 00:29:50,46.0,0.075
2019-02-20 00:30:00,45.0,0.1
2019-02-20 00:30:10,50.0,0.075
2019-02-20 00:30:20,56.0,0.1
2019-02-20 00:30:30,67.0,0.2
2019-02-20 00:30:40,56.0,0.1
2019-02-20 00:30:50,65.0,0.15
2019-02-20 00:31:00,49.0,0.1
2019-02-20 00:31:10,45.0,0.125
2019-02-20 00:31:20,56.0,0.05
2019-02-20 00:31:30,46.0,0.0
2019-02-20 00:31:40,46.0,0.025
2019-02-20 00:31:50,48.0,0.05
2019-02-20 00:32:00,47.0,0.05
2019-02-20 00:32:10,45.0,0.025
2019-02-20 00:32:20,52.0,0.025
2019-02-20 00:32:30,66.0,0.075
2019-02-20 00:32:40,53.0,0.0
2019-02-20 00:32:50,46.0,0.0
2019-02-20 00:33:00,51.0,0.0
2019-02-20 00:33:10,49.0,0.025
2019-02-20 00:33:20,48.0,0.0
2019-02-20 00:33:30,57.0,0.075
2019-02-20 00:33:40,51.0,0.0
2019-02-20 00:33:50,49.0,0.025
2019-02-20 00:34:00,49.0,0.025
2019-02-20 00:34:10,44.0,0.025
2019-02-20 00:34:20,46.0,0.05
2019-02-20 00:34:30,52.0,0.0
2019-02-20 00:34:40,50.0,0.025
2019-02-20 00:34:50,46.0,0.05
2019-02-20 00:35:00,53.0,0.0
2019-02-20 00:35:10,67.0,0.05
2019-02-20 00:35:20,46.0,0.0
2019-02-20 00:35:30,58.0,0.025
2019-02-20 00:35:40,73.0,0.2
2019-02-20 00:35:50,56.0,0.05
2019-02-20 00:36:00,50.0,0.0
2019-02-20 00:36:10,44.0,0.025
2019-02-20 00:36:20,52.0,0.0
